id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,koridor,jumlah_penumpang,satuan,tahun
153,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 5 (ANTAPANI - ST.HALL),1699,ORANG,2020
154,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 1 (CIBIRU - CIBEUREUM),7119,ORANG,2020
155,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),6552,ORANG,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 3 (CICAHEUM - SARIJADI),2953,ORANG,2020
157,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),2686,ORANG,2020
158,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 5 (ANTAPANI - ST.HALL),1532,ORANG,2020
159,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),11140,ORANG,2020
160,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),9388,ORANG,2020
161,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),4109,ORANG,2020
162,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),3385,ORANG,2020
163,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 5 (ANTAPANI - ST.HALL),2178,ORANG,2020
164,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),7546,ORANG,2020
165,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),7541,ORANG,2020
166,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),3329,ORANG,2020
167,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),2324,ORANG,2020
168,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 5 (ANTAPANI - ST.HALL),1728,ORANG,2020
169,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 1 (CIBIRU - CIBEUREUM),7564,ORANG,2021
170,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 2 (CICAHEUM - CIBEUREUM),6775,ORANG,2021
171,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 3 (CICAHEUM - SARIJADI),2412,ORANG,2021
172,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),1852,ORANG,2021
173,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 5 (ANTAPANI - ST.HALL),1027,ORANG,2021
174,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 1 (CIBIRU - CIBEUREUM),9189,ORANG,2021
175,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 2 (CICAHEUM - CIBEUREUM),7426,ORANG,2021
176,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 3 (CICAHEUM - SARIJADI),3049,ORANG,2021
177,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),2223,ORANG,2021
178,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 5 (ANTAPANI - ST.HALL),1186,ORANG,2021
179,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 1 (CIBIRU - CIBEUREUM),10933,ORANG,2021
180,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 2 (CICAHEUM - CIBEUREUM),8962,ORANG,2021
181,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 3 (CICAHEUM - SARIJADI),3645,ORANG,2021
182,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),3328,ORANG,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 5 (ANTAPANI - ST.HALL),1394,ORANG,2021
184,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 1 (CIBIRU - CIBEUREUM),10232,ORANG,2021
185,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 2 (CICAHEUM - CIBEUREUM),8035,ORANG,2021
186,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 3 (CICAHEUM - SARIJADI),3207,ORANG,2021
187,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),3081,ORANG,2021
188,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 5 (ANTAPANI - ST.HALL),1292,ORANG,2021
189,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 1 (CIBIRU - CIBEUREUM),9940,ORANG,2021
